p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.035882490896256e-11,0.35589274632377726,0.382,0.205,3.790294034189401e-7,6,SNX20
1.1144196676582396e-11,0.3569563463272078,0.35,0.188,4.077661563961499e-7,6,TRPS1
1.1259659871143413e-11,0.4160153051501707,0.364,0.192,4.1199095468513747e-7,6,AC016734.2
1.1964207402570537e-11,0.31585887465311935,0.366,0.196,4.3777034886005595e-7,6,CAMK2D
1.1993295245815716e-11,0.37114603550127845,0.327,0.17,4.3883467304439705e-7,6,CCDC109B
1.3448353541889446e-11,0.34870924510401075,0.336,0.179,4.920752560977348e-7,6,ELF2
1.404343308308853e-11,0.39413113675655415,0.348,0.179,5.138492165102093e-7,6,ROMO1
1.4062973008321933e-11,0.31380347233650846,0.352,0.19,5.145641823744995e-7,6,SHOC2
1.4370726830748026e-11,0.4571832206885729,0.293,0.148,5.258248947370703e-7,6,MRPL3
1.4482637311630242e-11,0.279515723548266,0.432,0.23,5.299196992325506e-7,6,KXD1
1.5119683283160157e-11,0.3757796166753049,0.368,0.192,5.532292113308301e-7,6,GPR108
1.520272796540212e-11,0.326995310544797,0.59,0.329,5.562678162540635e-7,6,RAD23A
1.536171190252844e-11,0.3298187133329793,0.503,0.278,5.620850385135157e-7,6,OXA1L
1.5965229138714676e-11,0.4509147313845651,0.348,0.184,5.8416773418557e-7,6,NDUFA2
1.6112222667175047e-11,0.365392487946672,0.478,0.26,5.89546227391935e-7,6,NDUFB4
1.6305845562669674e-11,0.29338704623022044,0.474,0.267,5.966308891380834e-7,6,YTHDF3
1.6315171436076525e-11,0.31328704147100384,0.288,0.144,5.969721228460401e-7,6,SGSH
1.8099077792044227e-11,0.4919092821485034,0.275,0.142,6.622452564108983e-7,6,COL4A3BP
1.8487877895267957e-11,0.4166391657542371,0.398,0.218,6.764714521878545e-7,6,DECR1
1.9708012999331004e-11,0.4353169402733137,0.265,0.129,7.211161956455214e-7,6,C6orf1
2.0280443990827735e-11,0.5121047038557106,0.291,0.154,7.420614456243868e-7,6,PHACTR4
2.074185267986195e-11,0.3707088617508193,0.51,0.277,7.589443895561487e-7,6,UQCR10
2.1382895454280515e-11,0.41616484103890505,0.272,0.136,7.82400144672124e-7,6,BCKDHA
2.2181367853590928e-11,0.550598051535043,0.272,0.14,8.11616249762892e-7,6,TSPAN3
2.376054908381775e-11,0.3620045666867589,0.32,0.17,8.693984909768915e-7,6,GLUD1
2.5123458868847592e-11,0.3004812370782265,0.368,0.2,9.192673600111334e-7,6,FKBP8
2.5209168086348654e-11,0.2835535842888605,0.556,0.333,9.224034602794973e-7,6,TSC22D2
2.589484182635715e-11,0.3856174251835719,0.318,0.162,9.474922624264082e-7,6,MRPS24
2.5934143721428882e-11,0.48420718793135586,0.275,0.138,9.489303187670828e-7,6,SPAG7
2.6225910332300373e-11,0.3804737180706215,0.526,0.294,9.596060590588706e-7,6,RBX1
2.644817698183033e-11,0.37915597821652103,0.366,0.195,9.677387957651717e-7,6,VTI1B
2.6455948543002705e-11,0.6367674894711765,0.263,0.137,9.68023157188469e-7,6,USF2
2.6494806348864586e-11,0.3869959890204271,0.611,0.346,9.694449643049552e-7,6,POLD4
2.66058286513271e-11,0.40389882101091135,0.35,0.189,9.735072703520586e-7,6,PSMD14
2.8123281481384765e-11,0.3753107973937355,0.6,0.336,1.0290308694038686e-6,6,PSMB6
2.812350352598969e-11,0.3942521150932028,0.705,0.392,1.0290389940159628e-6,6,P4HB
2.841349378002178e-11,0.4713368993080699,0.256,0.131,1.039649737410997e-6,6,AGO1
2.8523849948669522e-11,0.37119374528986154,0.362,0.191,1.0436876696218178e-6,6,PSMC4
2.9775959475841773e-11,0.3832428038418151,0.435,0.239,1.0895023572210505e-6,6,ZNHIT1
2.979350099963085e-11,0.3729242162931626,0.355,0.187,1.0901442015764928e-6,6,RPS19BP1
3.0490499014490524e-11,0.29870250785387664,0.252,0.122,1.1156473589402083e-6,6,PLCG2
3.214184474131798e-11,0.38114740549501946,0.556,0.318,1.176070099084825e-6,6,EIF4A3
3.231659384539398e-11,0.5602441621353645,0.265,0.135,1.1824641688029658e-6,6,SETD5-AS1
3.2584601683538494e-11,0.36829287635108676,0.508,0.28,1.1922705756006735e-6,6,CKLF
3.287747851743461e-11,0.4600012503923391,0.35,0.192,1.2029869389529324e-6,6,TTLL3
3.3536062815642254e-11,0.46062747213333183,0.318,0.167,1.22708453842435e-6,6,FIBP
3.473266119158325e-11,0.3871595406590767,0.462,0.27,1.270868073000031e-6,6,SH3GLB1
3.7791325624425554e-11,0.47005924934029575,0.268,0.138,1.382784604597731e-6,6,WSB2
4.00901534192144e-11,0.25636461441080804,0.643,0.408,1.466898713609055e-6,6,KMT2C
4.06046307688257e-11,0.35284585944782104,0.405,0.224,1.4857234398313324e-6,6,CNP
4.115063845233635e-11,0.30369962107467496,0.316,0.162,1.5057018609709871e-6,6,FKBP4
4.153055677136308e-11,0.4748050684260895,0.362,0.21,1.5196030722641751e-6,6,SULT1A3
4.3753667355872494e-11,0.35858860189518227,0.371,0.202,1.6009466885513746e-6,6,TBCA
4.3901104973542715e-11,0.32209118840764817,0.435,0.245,1.606341430981928e-6,6,NUTF2
5.302958072661568e-11,0.36185050457259615,0.343,0.185,1.9403523587868676e-6,6,RAB18
5.6031845829807025e-11,0.3210415270427833,0.357,0.193,2.050205238912639e-6,6,COX20
5.7703619660287586e-11,0.3112884485103645,0.348,0.186,2.1113754433699228e-6,6,RAP1A
5.8133498015422447e-11,0.27513171843913364,0.558,0.323,2.1271046923843073e-6,6,UBAP2L
6.268563446099051e-11,0.3287021456258151,0.295,0.157,2.293667364927643e-6,6,FGD5-AS1
6.386824402682123e-11,0.42254493355899636,0.275,0.139,2.336939048941389e-6,6,HPRT1
6.415756814703855e-11,0.4698802985884503,0.254,0.126,2.3475254185001404e-6,6,JKAMP
6.451306155952352e-11,0.3908382929539639,0.572,0.333,2.3605329224629656e-6,6,MTND1P23
6.464651036708347e-11,0.4281086753801754,0.449,0.253,2.365415814331584e-6,6,PPA1
6.933631446770505e-11,0.3775206969020025,0.297,0.152,2.537015746373328e-6,6,MPC1
7.276979019366081e-11,0.3518228432715227,0.382,0.209,2.662646623186049e-6,6,NDUFB6
7.418932135294654e-11,0.40905687507820165,0.265,0.135,2.7145872683043137e-6,6,ATF7
7.541389734910808e-11,0.4793605555351183,0.444,0.272,2.7593945040038648e-6,6,MIS18BP1
7.629985532275896e-11,0.2880900603228323,0.414,0.227,2.7918117062597503e-6,6,TGIF1
8.531664263955463e-11,0.4209493932088213,0.941,0.62,3.121735954181304e-6,6,VMP1
8.648504135067014e-11,0.35825390327077833,0.606,0.365,3.1644876630210206e-6,6,CS
8.971245968325547e-11,0.3601079678524135,0.275,0.145,3.282578899810318e-6,6,KPNA4
9.464140582338132e-11,0.3869408375655479,0.43,0.247,3.4629290390775225e-6,6,SEC14L1
1.0446132847619083e-10,0.3399202772552775,0.318,0.176,3.8222400089438224e-6,6,HIPK2
1.0740031086697854e-10,0.31662354521951713,0.449,0.258,3.929777374622745e-6,6,PTPN2
1.1112533115920087e-10,0.3472777419875389,0.572,0.325,4.06607586711516e-6,6,VDAC2
1.1171308322843743e-10,0.3538762960401232,0.416,0.231,4.0875817153285254e-6,6,ZFAND6
1.1420331347267165e-10,0.3351425121376399,0.54,0.305,4.178699239965056e-6,6,ADRM1
1.1834400126531364e-10,0.36467580693797585,0.268,0.138,4.330207006297826e-6,6,HDAC5
1.2433010176948756e-10,0.3590037013718373,0.604,0.35,4.54923842374555e-6,6,TPI1P1
1.283311235056317e-10,0.40568761336227394,0.286,0.148,4.695635809071064e-6,6,LSM6
1.294782059346744e-10,0.27932251717259116,0.332,0.183,4.7376075551497365e-6,6,ATAD2B
1.3404966026087095e-10,0.34131601795704336,0.281,0.145,4.904877068945268e-6,6,NRBF2
1.4004331028161232e-10,0.4532438604533984,0.968,0.67,5.124184723204195e-6,6,VIM
1.4102408130156618e-10,0.4038754285791887,0.355,0.199,5.160071134824307e-6,6,COPB2
1.4206880116773846e-10,0.5430449528826603,0.259,0.135,5.19829743472755e-6,6,TRAPPC11
1.46726186756041e-10,0.3682150773958358,0.556,0.315,5.36871117340354e-6,6,NEDD8
1.4849921292636736e-10,0.5731242158358374,0.263,0.14,5.433586200975782e-6,6,SCLT1
1.4998913222541432e-10,0.34665240784529333,0.341,0.188,5.48810234812791e-6,6,HYOU1
1.5513368367692237e-10,0.31217395756248256,0.277,0.147,5.67634148573859e-6,6,IPO7
1.6327139640281985e-10,0.3666695062578388,0.398,0.223,5.974100394379178e-6,6,ETFA
1.6734635899240402e-10,0.29595667711067253,0.686,0.417,6.123203275532063e-6,6,VAPA
1.789906001192776e-10,0.4322323765578615,0.261,0.131,6.549266058364367e-6,6,GDI2P2
1.811479855007292e-10,0.31828353518474195,0.471,0.265,6.628204789471681e-6,6,RNF7
1.9528045847039266e-10,0.5511977655692689,0.254,0.131,7.145311975431667e-6,6,DPM1
2.2291413159791773e-10,0.2526528133043679,0.513,0.305,8.15642807516781e-6,6,GDI1
2.2751844852564318e-10,0.35042123774721184,0.302,0.16,8.324900031553284e-6,6,TIMM17A
